N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
215;2435692;CUSCO;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA DE CRUZ PAMPA DEL DISTRITO DE CAPACMARCA - PROVINCIA DE CHUMBIVILCAS - DEPARTAMENTO DE CUSCO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,160,690.03;196;43;;;
216;2252445;CUSCO;INSTALACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO DEL CENTRO POBLADO PAQUICHARI , DISTRITO DE ECHARATI, PROVINCIA DE LA CONVENCIÓN, DEPARTAMENTO DEL CUSCO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,215,905.03;255;42;;;
217;2236878;CUSCO;MEJORAMIENTO Y  AMPLIACION DEL SISTEMA DE AGUA Y LETRINAS EN LOS SECTORES DE  PULPERA, PFITO PATA, HUAYNILLA, SOROQ’A, CHALLARANI , QUINSACHULLO Y HUANACUYO DE LA COMUNIDAD DE ALTO HUANCANE DISTRITO DE ESPINAR, PROVINCIA DE ESPINAR - CUSCO;MUNICIPALIDAD PROVINCIAL DE ESPINAR;2,355,839.44;432;52;;;
218;2236277;CUSCO;INSTALACION DEL SISTEMA DE AGUA POTABLE Y  LETRINAS EN LOS SECTORES DE YUCRAPAMPA Y PARARANI DE LA COMUNIDAD DE BAJO HUANCANÉ, DISTRITO DE ESPINAR, PROVINCIA DE ESPINAR - CUSCO;MUNICIPALIDAD PROVINCIAL DE ESPINAR;1,834,382.09;174;45;;;
219;2195390;CUSCO;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SANEAMIENTO BASICO INTEGRAL EN LOS SECTORES DE ALTO ARANJUEZ Y TUNQUIYOC, DISTRITO DE SANTA ANA, PROVINCIA DE LA CONVENCION - CUSCO;MUNICIPALIDAD PROVINCIAL DE LA CONVENCION - SANTA ANA;1,505,404.22;200;32;;;
220;2243452;CUSCO;INSTALACION AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE SANEAMIENTO BASICO INTEGRAL EN LA COMUNIDAD CAMPESINA DE CAJAPUCARA, DISTRITO DE CCAPI - PARURO - CUSCO;MUNICIPALIDAD DISTRITAL DE CCAPI;4,538,904.00;1,280;77;;;
221;2292179;CUSCO;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BASICO EN LAS COMUNIDADES DE PUERTO MAYO, NUEVO TIRINCAVINI, OTARI COLONOS Y OTARI NATIVOS DEL CENTRO POBLADO DE PUERTO MAYO, DISTRITO DE PICHARI - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE PICHARI;10,584,842.05;1,063;159;;;
222;2449965;CUSCO;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA LOCALIDAD DE HUISURAY DEL DISTRITO DE COLQUEMARCA - PROVINCIA DE CHUMBIVILCAS - DEPARTAMENTO DE CUSCO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,809,693;330;31;;;
223;2263854;CUSCO;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA LOCALIDAD DE QUEUNA GRANDE , DISTRITO DE HUANCARANI - PAUCARTAMBO - CUSCO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;5,201,023;458;72;;;
224;2249465;CUSCO;MEJORAMIENTO, AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO BÁSICO INTEGRAL EN LA COMUNIDAD CAMPESINA DE SANTA ROSA DE IHUINA, DISTRITO DE POMACANCHI - ACOMAYO - CUSCO;MUNICIPALIDAD DISTRITAL DE POMACANCHI;2,030,777;408;46;;;
225;2335019;CUSCO;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE, DISPOSICIÓN SANITARIA DE EXCRETAS E INSTALACIÓN DEL SISTEMA DE ALCANTARILLADO, EN LA CC DE LLASPAY Y ANEXO COTAHUANA, EN EL  DISTRITO DE HUANOQUITE, PROVINCIA DE PARURO - CUSCO;MUNICIPALIDAD PROVINCIAL DE PARURO;2,570,520;745;44;;;
226;2248577;CUSCO;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE LETRINAS CON ARRASTRE HIDRAULICO EN LOS SECTORES DE SAN JOSE, CENTRO, PAMPAMARCA Y CHAPARRAL DE LA C.C DE MELLOTOTORA, DISTRITO DE SANTO TOMAS, PROVINCIA DE CHUMBIVILCAS - CUSCO;MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS;2,673,009;518;56;;;
227;2480877;CUSCO;"REPARACION DE VIAS DE ACCESO; EN EL(LA) SERVICIO DE TRANSITABILIDAD EN LA LOCALIDAD COMPONE, DISTRITO DE ANTA, PROVINCIA ANTA, DEPARTAMENTO CUSCO";MUNICIPALIDAD PROVINCIAL DE ANTA;1,100,782;676;33;;;
228;2385815;CUSCO;"RENOVACIÓN DE VEREDA; EN EL(LA) CONJUNTO HABITACIONAL HILARIO MENDIVIL - ETAPAS I Y II,  DISTRITO DE WANCHAQ, PROVINCIA CUSCO, DEPARTAMENTO CUSCO";MUNICIPALIDAD DISTRITAL DE WANCHAQ;770,075;673;23;;;
229;2437279;CUSCO;MEJORAMIENTO DEL PARQUE Y ZONAS DE ENTRETENIMIENTO EN LA APV. HUAYNA PICOL DEL DISTRITO DE SAN JERONIMO - PROVINCIA DE CUSCO - DEPARTAMENTO DE CUSCO;MUNICIPALIDAD DISTRITAL DE SAN JERONIMO;596,872;1,527;18;;;
230;2439266;CUSCO;MEJORAMIENTO DE LOS SERVICIOS RECREATIVOS  DEL  PARQUE DE LA APV. ALTIVA CANAS DEL DISTRITO DE SAN JERONIMO - PROVINCIA DE CUSCO - DEPARTAMENTO DE CUSCO;MUNICIPALIDAD DISTRITAL DE SAN JERONIMO;341,204;3,096;11;;;
231;2492156;CUSCO;"REPARACION DE PISTA; RENOVACION DE SEÑALES DE TRÁFICO; EN EL(LA) INFRAESTRUCTURA VIAL CALLE SAN ANDRES, CALLE SAN BERNARDO, CALLE HELADEROS, CALLE CABILDO, CALLE SANTA TERESA EN LA LOCALIDAD CUSCO, DISTRITO DE CUSCO, PROVINCIA CUSCO, DEPARTAMENTO CUSCO";MUNICIPALIDAD PROVINCIAL DE CUSCO;1,141,812;154;34;;;
232;2338454;HUANCAVELICA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y CREACION DEL SERVICIO DE ALCANTARILLADO EN LOS CENTROS POBLADOS DE HUANCCALLACO Y POMACANCHA, DISTRITO DE CAJA - ACOBAMBA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CAJA;12,973,876.45;1,089;173;;;
233;2332074;HUANCAVELICA;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DE UNIDADES BÁSICAS DE SANEAMIENTO EN LAS COMUNIDADES DE AZUNA, TACMAYOCC, SAMINCA, HUACCHALLA, LAMBRAS, TINTAYOCC Y MAGNOPAMPA, DISTRITO DE SAN ANTONIO DE ANTAPARCO - ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE ANTAPARCO;7,144,557.30;956;126;;;
234;2311893;HUANCAVELICA;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN LAS LOCALIDADES OCCOBAMBA CHICO, SAN ANTONIO Y UCHUYMARCA, DISTRITO DE QUICHUAS - TAYACAJA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE QUICHUAS;4,692,456.92;595;77;;;
235;2335423;HUANCAVELICA;AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y CREACIÓN DEL SISTEMA DE ALCANTARILLADO DE LA LOCALIDAD DE YANAUTUTO, DISTRITO DE HUACHOCOLPA - HUANCAVELICA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;1,209,071.90;253;47;;;
236;2281481;HUANCAVELICA;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE, CREACION DEL SISTEMA DE ALCANTARILLADO E INSTALACION DE LETRINAS EN LAS LOCALIDADES SANTA LUCIA, PUEBLO LIBRE, TANCARPATA Y TARACA, DISTRITO DE SURCUBAMBA - TAYACAJA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE SURCUBAMBA;7,141,511.60;1,099;144;;;
237;2312689;HUANCAVELICA;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO CON BIODIGESTORES DEL CENTRO POBLADO DE SOCOS, DISTRITO DE SURCUBAMBA - TAYACAJA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE SURCUBAMBA;2,907,267.41;307;76;;;
238;2253951;HUANCAVELICA;INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO NUEVA ESPERANZA, DISTRITO DE PAUCARA- ACOBAMBA- HUANCAVELICA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,749,368;243;27;;;
239;2319392;HUANCAVELICA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y CREACIÓN DEL SERVICIO DE ALCANTARILLADO EN 06 LOCALIDADE DEL, DISTRITO DE HUANCAHUANCA, PROVINCIA DE ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE HUANCA HUANCA;4,266,078;679;83;;;
240;2324477;HUANCAVELICA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN LOS ANEXOS DE PARCO VILLANUEVA, ATAHUALPA LIRIOPAMPA Y SAN FRANCISCO DE TELLERIA DEL, DISTRITO DE NAHUIMPUQUIO - TAYACAJA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE ÑAHUIMPUQUIO;4,047,606;237;95;;;
241;2308439;HUANCAVELICA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE ALCANTARILLADO Y UNIDADES BASICAS DE SANEAMIENTO DE LA LOCALIDAD DE SAN PEDRO, DISTRITO DE LOCROJA - CHURCAMPA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE LOCROJA;2,102,222;323;62;;;
242;2463882;HUANCAVELICA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL BARRIO CENTRO DEL CENTRO POBLADO YARCCACANCHA DEL DISTRITO DE AHUAYCHA - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE AHUAYCHA;3,050,616;278;89;;;
243;2423233;HUANCAVELICA;"REPARACIÓN DE VIAS URBANAS; EN EL(LA) CALLE CIRCUNVALACION EN LA LOCALIDAD TICRAPO, DISTRITO DE TICRAPO, PROVINCIA CASTROVIRREYNA, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE TICRAPO;1,874,944;96;55;;;
244;2423423;HUANCAVELICA;"RENOVACIÓN DE PISTA, VEREDA Y ESCALERAS DE CONCRETO; EN EL(LA) CALLE, CIRCUNVALACIÓN, HUANCAVELICA, SAN MARCOS Y EN EL PASAJE EVANGÉLICA, EN LA LOCALIDAD SAN MARCOS DE ROCCHAC, DISTRITO DE SAN MARCOS DE ROCCHAC, PROVINCIA TAYACAJA, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE SAN MARCOS ROCCHAC;1,663,611;28;49;;;
245;2445099;HUANCAVELICA;CREACION DEL PARQUE INFANTIL  EN EL BARRIO PROGRESO,  LOCALIDAD DE HUANDO DEL DISTRITO DE HUANDO - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE HUANDO;215,775;910;8;;;
246;2468108;HUANCAVELICA;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE CHAYNABAMBA DEL DISTRITO DE CONGALLA - PROVINCIA DE ANGARAES - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CONGALLA;902,151;493;28;;;
247;2288801;HUANCAVELICA;CREACION DE PISTAS Y VEREDAS EN LA LOCALIDAD DE HUANCHUY, DISTRITO DE CHINCHO - ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CHINCHO;1,460,735;258;43;;;
248;2265213;HUANCAVELICA;CREACION DEL PARQUE PRINCIPAL DEL CENTRO POBLADO DE HUANCHUY, DISTRITO DE CHINCHO - ANGARAES - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CHINCHO;486,164;1,303;15;;;
249;2446793;HUANCAVELICA;CREACION DE SERVICIOS DE RECREACIÓN INFANTIL EN EL  DISTRITO DE CONGALLA - PROVINCIA DE ANGARAES - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE CONGALLA;535,838;3,544;17;;;
250;2237551;HUANCAVELICA;MEJORAMIENTO DE LA AVENIDA SAN MARTIN DEL ANEXO DE HUAJINTAY EN EL DISTRITO DE HUACHOS, PROVINCIA DE CASTROVIRREYNA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE HUACHOS;1,587,380;1,573;47;;;
251;2492009;HUANCAVELICA;"REPARACION DE CALZADA Y VEREDA; CONSTRUCCION DE CALZADA Y VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) BARRIO CENTRO EN LA LOCALIDAD AHUAYCHA, DISTRITO DE AHUAYCHA, PROVINCIA TAYACAJA, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE AHUAYCHA;1,218,720;100;37;;;
252;2492011;HUANCAVELICA;"REPARACION DE CALZADA; RENOVACION DE AREA VERDE; CONSTRUCCION DE CALZADA Y VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR PURHUAY DEL DISTRITO DE AHUAYCHA, PROVINCIA TAYACAJA, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE AHUAYCHA;530,449;113;17;;;
253;2491670;HUANCAVELICA;"CONSTRUCCION DE CALZADA, VEREDA, CUNETA Y BADEN; ADEMÁS DE OTROS ACTIVOS EN EL(LA) ÁMBITO URBANO DEL CENTRO POBLADO DE PUMARANRA, DISTRITO DE PAUCARA, PROVINCIA ACOBAMBA, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE PAUCARA;963,318;278;29;;;
254;2492334;HUANCAVELICA;"CONSTRUCCION DE CALZADA Y VEREDA; REPARACION DE CALZADA; EN EL(LA) CENTRO POBLADO DE HUARIBAMBA DEL DISTRITO DE HUARIBAMBA, PROVINCIA TAYACAJA, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE HUARIBAMBA;1,274,158;530;38;;;
255;2492365;HUANCAVELICA;"CONSTRUCCION DE CALZADA, SARDINEL Y ALCANTARILLA; REPARACION DE CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) LOCALIDAD DE SECCLLA LOCALIDAD DE SECCLLA DISTRITO DE SECCLLA, PROVINCIA ANGARAES, DEPARTAMENTO HUANCAVELICA";MUNICIPALIDAD DISTRITAL DE SECCLLA;568,576;95;17;;;
256;2424806;HUANCAVELICA;CREACION DE LOSA DE RECREACIÓN  MULTIUSOS  DE ACRAQUIA DEL DISTRITO DE ACRAQUIA - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE ACRAQUIA;457,022;799;14;;;
257;2455754;HUANCAVELICA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LAS PRINCIPALES CALLES DE QUICHUAS DEL  DISTRITO DE QUICHUAS - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE QUICHUAS;6,959,448;688;203;;;
258;2482467;HUANCAVELICA;CREACION DEL ACCESO PEATONAL CON ESCALINATAS Y TRATAMIENTO PAISAJISTICO EN LOS PASAJES 28 DE JULIO Y LOS ALAMOS EN LA LOCALIDAD DE QUICHUAS DEL  DISTRITO DE QUICHUAS - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE QUICHUAS;384,854;688;12;;;
259;2164368;HUÁNUCO;INSTALACION DEL SISTEMA DE DRENAJE - AUCAYACU, DISTRITO DE JOSE CRESPO Y CASTILLO - LEONCIO PRADO - HUANUCO;MUNICIPALIDAD DISTRITAL DE CRESPO Y CASTILLO;21,891,896;3,667;74;;;
260;2260089;HUÁNUCO;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE DISPOSICION SANITARIA DE EXCRETAS EN EL CENTRO POBLADO DE CONDORGAGA, DISTRITO DE HUACRACHUCO , PROVINCIA DE MARANON - HUANUCO;MUNICIPALIDAD PROVINCIAL DE MARAÑON - HUACRACHUCO;2,419,499.91;512;39;;;
261;2251099;HUÁNUCO;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO EN LA LOCALIDAD DE LA VICTORIA , DISTRITO DE CHOLON - MARANON - HUANUCO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,240,879.41;205;29;;;
262;2217352;HUÁNUCO;AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE ANTONIO RAIMONDI, LAS DELICIAS Y LA VICTORIA, DISTRITO DANIEL ALOMIA ROBLES, PROVINCIA LEONCIO PRADO, REGION HUANUCO;MUNICIPALIDAD DISTRITAL DE DANIEL ALOMIA ROBLES;6,414,014.63;2,140;69;;;
263;2332784;HUÁNUCO;CREACION DE LOS SERVICIOS DE AGUA POTABLE, DISPOSICION SANITARIA DE EXCRETAS, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA LOCALIDAD DE  MESAPATA, DISTRITO DE JACAS GRANDE - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE JACAS GRANDE;5,295,699.77;561;123;;;
264;2331878;HUÁNUCO;CREACION DEL SISTEMA  DE AGUA POTABLE Y DISPOSICION DE EXCRETAS SANITARIAS  EN LOS CASERIOS DE YURAGYACU, CAJON, HUANCAN, TRANCA, RINCO Y PALMAPAMPA DE RINCO, DISTRITO DE MOLINO - PACHITEA - HUANUCO;MUNICIPALIDAD DISTRITAL DE MOLINOS;7,482,280.00;661;104;;;
265;2323364;HUÁNUCO;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LAS LOCALIDADES DE VILCABAMBA, LLANQUIPAMPA, SHAIRICANCHA Y ALLGAHUANCA ALTA, DISTRITO DE AMARILIS - HUANUCO - HUANUCO;MUNICIPALIDAD DISTRITAL DE AMARILIS;18,616,811.87;2,275;372;;;
266;2277211;HUÁNUCO;INSTALACION DEL SERVICIO DE AGUA POTABLE E LETRINAS CON ARRASTRE HIDRAULICO EN LAS LOCALIDADES DE SAN JUAN DE QUIRUQUIRU Y SOGOBAMBA, DISTRITO DE JACAS GRANDE - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE JACAS GRANDE;2,519,393.10;282;48;;;
267;2308279;HUÁNUCO;CREACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS LOCALIDADES DE HUAYCHAURUMI, TUNAHUAIN, LAYAPAMPA, WISHLAJ Y MUNANYA, DISTRITO DE CHUQUIS - DOS DE MAYO - HUANUCO;MUNICIPALIDAD DISTRITAL DE CHUQUIS;4,295,367.73;705;67;;;
268;2378089;HUÁNUCO;AMPLIACION Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA LOCALIDAD DE SHUCSHA, DISTRITO DE TANTAMAYO - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE TANTAMAYO;5,881,967.04;580;88;;;
269;2425577;HUÁNUCO;CREACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA LOCALIDAD DE PUCA CRUZ DE TAYAPAMPA  DISTRITO DE JACAS GRANDE - PROVINCIA DE HUAMALIES - DEPARTAMENTO DE HUANUCO;MUNICIPALIDAD DISTRITAL DE JACAS GRANDE;1,912,853.63;220;38;;;
270;2307895;HUÁNUCO;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO EN LA LOCALIDAD DE GENERAL ROQUE SAENZ PENA - RIO TIGRE, DISTRITO DE MARIANO DAMASO BERAUN - LEONCIO PRADO - HUANUCO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,806,601;308;71;;;
271;2284341;HUÁNUCO;INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD DE GAYAO, DISTRITO DE CHURUBAMBA - HUANUCO - HUANUCO;MUNICIPALIDAD DISTRITAL DE CHURUBAMBA;1,658,916;243;31;;;
272;2215687;HUÁNUCO;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE ALCANTARILLADO EN EL CENTRO POBLADO DE MASQUIN, DISTRITO DE CAYNA - AMBO - HUANUCO;MUNICIPALIDAD DISTRITAL DE CAYNA;1,740,629;420;30;;;
273;2288044;HUÁNUCO;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE DISPOSICION SANITARIA DE EXCRETAS, EN LA LOCALIDAD DE PAMPAHUASI, DISTRITO DE APARICIO POMARES, PROVINCIA DE YAROWILCA - HUANUCO;MUNICIPALIDAD PROVINCIAL DE YAROWILCA - CHAVINILLO;1,820,553;150;42;;;
274;2225982;HUÁNUCO;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y CREACIÓN DEL SERVICIO DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LA LOCALIDAD DE HUANCARRUMI DEL CENTRO POBLADO DE MARAYPATA, DISTRITO DE AMBO, PROVINCIA DE AMBO - HUANUCO;MUNICIPALIDAD PROVINCIAL DE AMBO;3,440,729;580;65;;;
275;2430097;HUÁNUCO;Implementacion del sistema Electrico en Media tension 22.9 KV, trifasico para la planta de tratamiento de agua potable de la EPS SEDA HUANUCO S.A. - Zonal Aucayacu;EPS SEDA HUANUCO S.A.;361,794.30;12,240;24;;;
276;2430157;HUÁNUCO;Incremento de Cobertura Marginal de Agua Potable y Alcantarillado de la Zonal Aucayacu - EPS SEDA HUANUCO S.A.;EPS SEDA HUANUCO S.A.;962,738.53;436;18;;;
277;2180973;HUÁNUCO;MEJORAMIENTO, AMPLIACION DE LA PLAZA PRINCIPAL DE YANAS, DISTRITO DE YANAS - DOS DE MAYO - HUANUCO;MUNICIPALIDAD DISTRITAL DE YANAS;1,199,512;3,127;35;;;
278;2408320;HUÁNUCO;CREACION DE LOSA MULTIDEPORTIVA EN EL SECTOR CUTIPAMPA DE LA LOCALIDAD DE CAYNA - DISTRITO DE CAYNA - PROVINCIA DE AMBO - DEPARTAMENTO DE HUANUCO;MUNICIPALIDAD DISTRITAL DE CAYNA;437,424;2,028;14;;;
279;2269431;HUÁNUCO;CREACION DE LA PLAZA DE ARMAS DE LA CIUDAD DE CAYNA, DISTRITO DE CAYNA, PROVINCIA DE AMBO - HUÁNUCO CAYNA - DISTRITO DE CAYNA - PROVINCIA DE AMBO - DEPARTAMENTO DE HUANUCO;MUNICIPALIDAD DISTRITAL DE CAYNA;700,048;1,758;22;;;
280;2407223;HUÁNUCO;CREACION DE LOSA DE RECREACIÓN MULTIUSO EN LA LOCALIDAD DE RIPAN - DISTRITO DE RIPAN - PROVINCIA DE DOS DE MAYO - DEPARTAMENTO DE HUANUCO;MUNICIPALIDAD DISTRITAL DE RIPAN;490,601;850;15;;;
281;2492363;HUÁNUCO;CONSTRUCCIÓN DE CALZADA, VEREDA Y RAMPA, REPARACIÓN  DE CALZADA, ADEMÁS DE OTROS ACTIVOS EN EL (LA) ETAPA II DE LA URB. PAUCARBAMBA, DISTRITO DE AMARILIS, PROVINCIA HUÁNUCO, DEPARTAMENTO HUÁNUCO;MUNICIPALIDAD DISTRITAL DE AMARILIS;1,015,005;643;31;;;
282;2492446;HUÁNUCO;"REPARACION DE CALZADA Y SARDINEL; CONSTRUCCION DE CALZADA Y MURO DE CONTENCION; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR SAN CRISTOBAL DE JACAS CHICO - UCRO, DISTRITO DE JACAS CHICO, PROVINCIA YAROWILCA, DEPARTAMENTO HUANUCO";MUNICIPALIDAD DISTRITAL DE JACAS CHICO;912,744;60;28;;;
283;2492348;HUÁNUCO;"REPARACION DE CALZADA Y CUNETA; CONSTRUCCION DE CALZADA Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. TOMAS CANTARO EN LA LOCALIDAD MOLINO, DISTRITO DE MOLINO, PROVINCIA PACHITEA, DEPARTAMENTO HUANUCO";MUNICIPALIDAD DISTRITAL DE MOLINO;621,316;115;19;;;
284;2492835;HUÁNUCO;"REPARACION DE PISTA Y VEREDA; EN EL(LA) AV. DOS DE ENERO, JR. 29 DE JUNIO, JR. SAN PEDRO, PASAJE UNION Y PROLONGACION INCA PATA DISTRITO DE CHINCHAO, PROVINCIA HUANUCO, DEPARTAMENTO HUANUCO";MUNICIPALIDAD DISTRITAL DE CHINCHAO;537,542;1,120;17;;;
285;2493166;HUÁNUCO;"CONSTRUCCIÓN Y REPARACION DE PISTA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE TOMAY KICHWA EN LA LOCALIDAD TOMAY KICHWA, DISTRITO DE TOMAY KICHWA, PROVINCIA AMBO, DEPARTAMENTO HUANUCO";MUNICIPALIDAD DISTRITAL DE TOMAYKICHWA;752,680;156;23;;;
286;2173866;HUÁNUCO;CREACION DE  PISTAS, VEREDAS Y CUNETAS  EN EL JR. SANTA ROSA, PROLONG. CAPITAN ESPINOZA Y PROLONG. EDUARDO LANATTA, DISTRITO DE TANTAMAYO - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE TANTAMAYO;2,777,175;250;81;;;
287;2340892;HUÁNUCO;"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DE LAS CALLES 1ERA CDRA Y PROLONGACION DE LA AV. 28 DE JULIO; JR. FLORECILLAS INICIANDO EN EL JR. SAN JOSE HASTA LA INTERSECCION CON LA AV. 28 DE JULIO; JR. PACHACUTEC, 1ERA Y 4TA CDRA; AV. EL EJERCITO 1ERA, 7MA Y 8TA CDRA; JR. SANTO DOMINGO 1ERA Y 4TA CDRA, PROVINCIA DE HUACAYBAMBA - HUANUCO";MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA;2,841,031;8,652;85;;;
