N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
56;2332871;APURÍMAC;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE SANEAMIENTO BÁSICO EN LA LOCALIDAD DE SAN ANTONIO, DISTRITO DE SAN ANTONIO - GRAU - APURIMAC;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;2,903,818.08;695;51;;;
57;2314813;APURÍMAC;CREACION DEL SISTEMA DE AGUA POTABLE E INSTALACIÓN DE LETRINAS CON BIODIGESTOR EN LOS ANEXOS DE CHUCHIN Y SARANI, DISTRITO DE TORAYA - AYMARAES - APURIMAC;MUNICIPALIDAD DISTRITAL DE TORAYA;1,542,661;172;40;;;
58;2456560;APURÍMAC;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PUBLICO RECREACIONAL EN EL SECTOR  DE ROSASPATA DE LA LOCALIDAD DE HUACCANA DEL DISTRITO DE HUACCANA - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD DISTRITAL DE HUACCANA;306,605;2,046;10;;;
59;2413237;APURÍMAC;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PÚBLICO EN LA PLAZA DE ARMAS DEL CENTRO POBLADO DE CHUPARO,  DISTRITO DE ANCO_HUALLO - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD PROVINCIAL DE CHINCHEROS;775,587;1,116;23;;;
60;2448772;APURÍMAC;CREACION DEL PARQUE RECREACIONAL INFANTIL EN LA LOCALIDAD DE COTARUSE DEL DISTRITO DE COTARUSE - PROVINCIA DE AYMARAES - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD DISTRITAL DE COTARUSE;304,658;1,278;10;;;
61;2478572;APURÍMAC;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD PEATONAL CON GRADERIAS EN LAS CALLES DE JR, JOSE MARIA ARGUEDAS, JR. MARIANO MELGAR Y JR. RICARDO PALMA DE LA LOCALIDAD DE TURPO,  DISTRITO DE TURPO - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD DISTRITAL DE TURPO;1,330,477;1,585;40;;;
62;2418934;APURÍMAC;CREACION DE LOSA DE RECREACIÓN MULTIUSO EN LA LOCALIDAD DE PISONAYPATA  DISTRITO DE CURAHUASI - PROVINCIA DE ABANCAY - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD DISTRITAL DE CURAHUASI;524,249;730;16;;;
63;2491379;APURÍMAC;"CONSTRUCCION DE VEREDA, RAMPA, SARDINEL Y CALZADA; ADEMÁS DE OTROS ACTIVOS EN UN VIAS URBANAS EN LA LOCALIDAD HUACCANA, DISTRITO DE HUACCANA, PROVINCIA CHINCHEROS, DEPARTAMENTO APURIMAC";MUNICIPALIDAD DISTRITAL DE HUACCANA;812,409;120;25;;;
64;2492175;APURÍMAC;"CONSTRUCCION DE PISTA, VEREDA, CUNETA Y ALCANTARILLA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) LOCALIDAD PATAYPAMPA DISTRITO DE PATAYPAMPA, PROVINCIA GRAU, DEPARTAMENTO APURIMAC";MUNICIPALIDAD DISTRITAL DE PATAYPAMPA;761,153;177;23;;;
65;2458126;APURÍMAC;MEJORAMIENTO DEL SERVICIO DE ESPACIO PUBLICO DE LA PLAZA DE ARMAS DEL CENTRO POBLADO DE PUMACHUCO DEL DISTRITO DE HUACCANA - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD DISTRITAL DE HUACCANA;629,747;936;19;;;
66;2418929;APURÍMAC;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PUBLICO EN LA PLAZA DE ARMAS DE LA LOCALIDAD DE PISONAYPATA  DISTRITO DE CURAHUASI - PROVINCIA DE ABANCAY - DEPARTAMENTO DE APURIMAC;MUNICIPALIDAD DISTRITAL DE CURAHUASI;555,355;730;17;;;
